Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,10/15,10/16,10/17,10/18,10/19,10/20,10/21,10/22,10/23,10/24,10/25,10/26,10/27,10/28,10/29,10/30,10/31,11/1,11/2,11/3,11/4,11/5,11/6,11/7,11/8,11/9,11/10,11/11,11/12,11/13,11/14,11/15,11/16,11/17,11/18,11/19,11/20,11/21,11/22,11/23,11/24,11/25,11/26,11/27
UBER,Uber Technologies,Communication Services,Application Software,"San Francisco, California",51,46,40,45,48,44,44,46,47,52,52,53,50,45,46,48,51,46,51,56,55,53,49,49,52,49,53,49,45,44,45,41,38,35,30,30,31,30,32,30,35,39,42,38
NIO,Nio,Consumer Staples,Automobile Manufacturers,"Shanghai, China",54,57,56,60,62,60,58,55,60,57,57,53,55,53,51,50,55,51,50,47,49,52,52,50,46,49,52,54,49,45,44,45,48,44,48,44,44,47,43,47,52,48,51,54
RBLX,Roblox,Communication Services,Application Software,"San Mateo, California",51,49,42,45,50,45,50,48,52,52,57,58,60,58,55,59,63,62,58,60,57,59,54,59,56,52,56,56,56,51,51,55,53,58,56,61,63,62,63,59,63,59,62,61
AMC,AMC Entertainment,Consumer Discretionary,Movies & Entertainment,"Leawood, Kansas",55,50,43,40,43,38,41,42,43,45,49,46,44,41,44,44,40,38,42,32,36,40,38,39,40,42,43,41,39,40,38,38,41,40,38,35,35,39,34,39,41,36,41,43
LCID,Lucid Group,Consumer Staples,Automobile Manufacturers,"Newark, California",58,59,36,31,33,38,40,36,36,32,31,31,33,31,30,30,33,35,32,39,41,39,41,38,37,38,33,38,41,46,48,46,42,37,35,31,30,30,30,30,35,33,30,35
SNAP,Snap,Communication Services,Application Software,"Santa Monica, California",55,54,53,54,54,55,54,49,45,46,41,42,47,47,52,49,53,48,47,46,51,46,45,42,41,45,47,50,55,50,47,46,50,46,46,42,41,46,51,55,54,56,60,63
BABA,Alibaba,Consumer Discretionary,Broadline Retail,"Hangzhou, China",53,55,45,47,50,46,48,51,53,51,46,47,49,49,46,41,42,38,33,45,48,43,45,49,46,47,49,45,42,46,45,47,47,52,57,53,52,54,52,52,50,52,48,44
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",42,46,44,40,36,38,42,43,47,45,40,41,45,40,39,34,30,30,30,33,35,34,32,33,34,34,35,40,43,42,46,45,47,50,55,54,51,55,57,62,58,62,63,61
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",42,38,67,67,64,65,65,68,64,65,63,64,59,58,56,51,47,47,51,44,46,47,48,51,49,44,42,45,46,50,53,57,54,49,54,50,50,49,44,44,46,45,43,39
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",41,38,42,46,49,54,49,54,51,52,57,53,53,53,57,56,59,62,62,58,61,59,55,52,51,54,56,58,53,52,47,49,47,43,41,39,44,40,38,40,36,32,37,32
